root_uid	eventmention_id	slot_type	argmention_id	attribute
IC0015D2J	VMIC0015D2J.000063	evt144arg02recipient	EMIC0015D2J.000084	none
IC0015D2J	VMIC0015D2J.000063	evt144arg04territoryorfacility	EMIC0015D2J.000097	none
IC0015D2J	VMIC0015D2J.000063	evt144arg05place	EMIC0015D2J.000110	none
IC0015D2J	VMIC0015D2J.000123	evt113arg01transporter	EMIC0015D2J.000144	none
IC0015D2J	VMIC0015D2J.000123	evt113arg02passenger	EMIC0015D2J.000157	none
IC0015D2J	VMIC0015D2J.000123	evt113arg04origin	EMIC0015D2J.000170	none
IC0015D2J	VMIC0015D2J.000183	evt004arg01attacker	EMIC0015D2J.000204	none
IC0015D2J	VMIC0015D2J.000183	evt004arg02target	EMIC0015D2J.000217	none
IC0015D2J	VMIC0015D2J.000183	evt004arg04place	EMIC0015D2J.000230	none
IC0015D2J	VMIC0015D2J.000183	evt004arg01attacker	EMIC0015D2J.001893	none
IC0015D2J	VMIC0015D2J.000854	evt048arg01communicator	EMIC0015D2J.000875	none
IC0015D2J	VMIC0015D2J.000854	evt048arg02recipient	EMIC0015D2J.000888	none
IC0015D2J	VMIC0015D2J.001089	evt112arg02passenger	EMIC0015D2J.001110	none
IC0015D2J	VMIC0015D2J.001089	evt112arg04origin	EMIC0015D2J.001123	none
IC0015D2J	VMIC0015D2J.001089	evt112arg05destination	EMIC0015D2J.001136	none
IC0015D2J	VMIC0015D2J.001149	evt112arg02passenger	EMIC0015D2J.001170	none
IC0015D2J	VMIC0015D2J.001149	evt112arg04origin	EMIC0015D2J.001183	none
IC0015D2J	VMIC0015D2J.001149	evt112arg05destination	EMIC0015D2J.001196	none
IC0015D2J	VMIC0015D2J.001209	evt112arg02passenger	EMIC0015D2J.001230	none
IC0015D2J	VMIC0015D2J.001209	evt112arg04origin	EMIC0015D2J.001243	none
IC0015D2J	VMIC0015D2J.001209	evt112arg05destination	EMIC0015D2J.001256	none
IC0015D2J	VMIC0015D2J.001269	evt112arg02passenger	EMIC0015D2J.001290	none
IC0015D2J	VMIC0015D2J.001269	evt112arg04origin	EMIC0015D2J.001303	none
IC0015D2J	VMIC0015D2J.001269	evt112arg05destination	EMIC0015D2J.001316	none
IC0015D2J	VMIC0015D2J.001538	evt139arg02recipient	EMIC0015D2J.001601	none
IC0015D2J	VMIC0015D2J.001538	evt139arg04artifact	EMIC0015D2J.001614	none
IC0015D2J	VMIC0015D2J.001538	evt139arg05place	EMIC0015D2J.001627	none
IC0015D2J	VMIC0015D2J.001692	evt113arg02passenger	EMIC0015D2J.001713	none
IC0015D2J	VMIC0015D2J.001692	evt113arg04origin	EMIC0015D2J.001726	none
IC0015D2J	VMIC0015D2J.001692	evt113arg05destination	EMIC0015D2J.001739	none
IC0015D2J	VMIC0015D2J.002047	evt079arg01jailer	EMIC0015D2J.002068	none
IC0015D2J	VMIC0015D2J.002047	evt079arg02detainee	EMIC0015D2J.002081	none
IC0015D2J	VMIC0015D2J.002047	evt079arg02detainee	EMIC0015D2J.002094	none
IC0015D2J	VMIC0015D2J.002047	evt079arg04place	EMIC0015D2J.002107	none
IC0015D2J	VMIC0015D2J.003773	evt113arg01transporter	EMIC0015D2J.003833	none
IC0015D2J	VMIC0015D2J.003773	evt113arg01transporter	EMIC0015D2J.003846	none
IC0015D2J	VMIC0015D2J.003773	evt113arg02passenger	EMIC0015D2J.003859	none
IC0015D2J	VMIC0015D2J.004384	evt121arg01transporter	EMIC0015D2J.004405	none
IC0015D2J	VMIC0015D2J.004384	evt121arg03origin	EMIC0015D2J.004418	none
IC0015KBJ	VMIC0015KBJ.000533	evt144arg02recipient	EMIC0015KBJ.000554	none
IC0015KBJ	VMIC0015KBJ.000533	evt144arg04territoryorfacility	EMIC0015KBJ.000567	none
IC0015KBJ	VMIC0015KBJ.000533	evt144arg05place	EMIC0015KBJ.000580	none
IC0015KBJ	VMIC0015KBJ.000533	evt144arg02recipient	EMIC0015KBJ.000640	none
IC0015KBJ	VMIC0015KBJ.000747	evt010arg01attacker	EMIC0015KBJ.000768	none
IC0015KBJ	VMIC0015KBJ.000747	evt010arg02target	EMIC0015KBJ.000781	none
IC0015KBJ	VMIC0015KBJ.000935	evt010arg01attacker	EMIC0015KBJ.000956	none
IC0015KBJ	VMIC0015KBJ.000935	evt010arg02target	EMIC0015KBJ.000969	none
IC0015KBV	VMIC0015KBV.000003	evt144arg02recipient	EMIC0015KBV.000024	none
IC0015KBV	VMIC0015KBV.000003	evt144arg04territoryorfacility	EMIC0015KBV.000037	none
IC0015KBV	VMIC0015KBV.000003	evt144arg05place	EMIC0015KBV.000050	none
IC0015L5A	VMIC0015L5A.000097	evt004arg01attacker	EMIC0015L5A.000118	none
IC0015L5A	VMIC0015L5A.000097	evt004arg01attacker	EMIC0015L5A.000131	none
IC0015L5A	VMIC0015L5A.000097	evt004arg02target	EMIC0015L5A.000144	none
IC0015L5A	VMIC0015L5A.000097	evt004arg04place	EMIC0015L5A.000794	none
IC0015L5A	VMIC0015L5A.000345	evt144arg02recipient	EMIC0015L5A.000366	none
IC0015L5A	VMIC0015L5A.000345	evt144arg05place	EMIC0015L5A.000379	none
IC0015L5A	VMIC0015L5A.000345	evt144arg04territoryorfacility	EMIC0015L5A.000460	none
IC0015L5A	VMIC0015L5A.001048	evt011arg01attacker	EMIC0015L5A.001069	none
IC0015L5A	VMIC0015L5A.001048	evt011arg02target	EMIC0015L5A.001082	none
IC0015L5A	VMIC0015L5A.001095	evt010arg01attacker	EMIC0015L5A.001116	none
IC0015L5A	VMIC0015L5A.001095	evt010arg02target	EMIC0015L5A.001129	none
IC0015L5K	VMIC0015L5K.001604	evt079arg01jailer	EMIC0015L5K.001625	none
IC0015L5K	VMIC0015L5K.001604	evt079arg02detainee	EMIC0015L5K.001638	none
IC0015L5K	VMIC0015L5K.002173	evt098arg01manufacturer	EMIC0015L5K.002194	none
IC0015L5K	VMIC0015L5K.002173	evt098arg02artifact	EMIC0015L5K.002207	none
IC0015L5K	VMIC0015L5K.002173	evt098arg04place	EMIC0015L5K.002220	none
IC0015L5K	VMIC0015L5K.002233	evt098arg01manufacturer	EMIC0015L5K.002254	none
IC0015L5K	VMIC0015L5K.002233	evt098arg02artifact	EMIC0015L5K.002267	none
IC0015L5K	VMIC0015L5K.002233	evt098arg04place	EMIC0015L5K.002280	not
IC0015L5K	VMIC0015L5K.002460	evt033arg01participant	EMIC0015L5K.002481	none
IC0015L5K	VMIC0015L5K.002460	evt033arg02participant	EMIC0015L5K.002494	none
IC0015L5K	VMIC0015L5K.002648	evt004arg01attacker	EMIC0015L5K.002669	none
IC0015L5K	VMIC0015L5K.002648	evt004arg02target	EMIC0015L5K.002682	none
IC0015L5K	VMIC0015L5K.002648	evt004arg04place	EMIC0015L5K.002695	none
IC0015L5K	VMIC0015L5K.002708	evt004arg01attacker	EMIC0015L5K.002729	none
IC0015L5K	VMIC0015L5K.002708	evt004arg02target	EMIC0015L5K.002742	none
IC0015L5K	VMIC0015L5K.002708	evt004arg04place	EMIC0015L5K.002755	none
IC0015L5K	VMIC0015L5K.002768	evt121arg01transporter	EMIC0015L5K.002789	none
IC0015L5K	VMIC0015L5K.002768	evt121arg04destination	EMIC0015L5K.002802	none
IC0015L5K	VMIC0015L5K.002768	evt121arg03origin	EMIC0015L5K.002836	none
IC0015L5K	VMIC0015L5K.002849	evt121arg01transporter	EMIC0015L5K.002870	none
IC0015L5K	VMIC0015L5K.002849	evt121arg03origin	EMIC0015L5K.002883	none
IC0015L5K	VMIC0015L5K.002849	evt121arg04destination	EMIC0015L5K.002896	none
IC0015L5K	VMIC0015L5K.002909	evt121arg01transporter	EMIC0015L5K.002930	none
IC0015L5K	VMIC0015L5K.002909	evt121arg03origin	EMIC0015L5K.002943	none
IC0015L5K	VMIC0015L5K.002909	evt121arg04destination	EMIC0015L5K.002956	none
IC0015L5K	VMIC0015L5K.002969	evt121arg01transporter	EMIC0015L5K.002990	none
IC0015L5K	VMIC0015L5K.002969	evt121arg03origin	EMIC0015L5K.003003	none
IC0015L5K	VMIC0015L5K.002969	evt121arg04destination	EMIC0015L5K.003016	none
IC0015L5K	VMIC0015L5K.003029	evt121arg01transporter	EMIC0015L5K.003050	none
IC0015L5K	VMIC0015L5K.003029	evt121arg03origin	EMIC0015L5K.003063	none
IC0015L5K	VMIC0015L5K.003229	evt011arg01attacker	EMIC0015L5K.003250	none
IC0015L5K	VMIC0015L5K.003229	evt011arg01attacker	EMIC0015L5K.003263	none
