kb_id	mention_id	root_uid
NILE05036	EMIC0015D2J.000084	IC0015D2J
80000011	EMIC0015D2J.000097	IC0015D2J
704508|80000042	EMIC0015D2J.000110	IC0015D2J
NILE04001	EMIC0015D2J.000144	IC0015D2J
NILE05037	EMIC0015D2J.000157	IC0015D2J
80000011	EMIC0015D2J.000170	IC0015D2J
80000139	EMIC0015D2J.000204	IC0015D2J
80000011	EMIC0015D2J.000217	IC0015D2J
704508|80000042	EMIC0015D2J.000230	IC0015D2J
NILE04001	EMIC0015D2J.001893	IC0015D2J
NILE04184	EMIC0015D2J.000875	IC0015D2J
NILE04037	EMIC0015D2J.000888	IC0015D2J
NILE04037	EMIC0015D2J.001110	IC0015D2J
2017370|80000055	EMIC0015D2J.001123	IC0015D2J
690791|80000032	EMIC0015D2J.001136	IC0015D2J
NILE04037	EMIC0015D2J.001170	IC0015D2J
NILE04003	EMIC0015D2J.001183	IC0015D2J
690791|80000032	EMIC0015D2J.001196	IC0015D2J
NILE04037	EMIC0015D2J.001230	IC0015D2J
NILE04004	EMIC0015D2J.001243	IC0015D2J
690791|80000032	EMIC0015D2J.001256	IC0015D2J
NILE04037	EMIC0015D2J.001290	IC0015D2J
NILE04005	EMIC0015D2J.001303	IC0015D2J
690791|80000032	EMIC0015D2J.001316	IC0015D2J
NILE04006	EMIC0015D2J.001601	IC0015D2J
NILE05040	EMIC0015D2J.001614	IC0015D2J
80000062	EMIC0015D2J.001627	IC0015D2J
80000084	EMIC0015D2J.001713	IC0015D2J
2017370|80000055	EMIC0015D2J.001726	IC0015D2J
80000062	EMIC0015D2J.001739	IC0015D2J
80000062	EMIC0015D2J.004491	IC0015D2J
80000062	EMIC0015D2J.004497	IC0015D2J
80000066	EMIC0015D2J.002068	IC0015D2J
NILE04008	EMIC0015D2J.002081	IC0015D2J
NILE05042	EMIC0015D2J.002094	IC0015D2J
690791|80000032	EMIC0015D2J.002107	IC0015D2J
80000139	EMIC0015D2J.003833	IC0015D2J
80000139	EMIC0015D2J.003846	IC0015D2J
NILE05048	EMIC0015D2J.003859	IC0015D2J
NILE05053	EMIC0015D2J.004405	IC0015D2J
703883|80000039	EMIC0015D2J.004418	IC0015D2J
NILE05055	EMIC0015KBJ.000554	IC0015KBJ
80000014	EMIC0015KBJ.000567	IC0015KBJ
693468|80000043	EMIC0015KBJ.000580	IC0015KBJ
NILE04017	EMIC0015KBJ.000640	IC0015KBJ
NILE04018	EMIC0015KBJ.000768	IC0015KBJ
NILE05057	EMIC0015KBJ.000781	IC0015KBJ
80000084	EMIC0015KBJ.000956	IC0015KBJ
690791|80000032	EMIC0015KBJ.000969	IC0015KBJ
NILE04019	EMIC0015KBV.000024	IC0015KBV
NILE05058	EMIC0015KBV.000037	IC0015KBV
693468|80000043	EMIC0015KBV.000050	IC0015KBV
