kb_id	mention_id	root_uid
80000117	EMIC0015SDO.000024	IC0015SDO
703448|80000027	EMIC0015SDO.000037	IC0015SDO
NILE06792	EMIC0015SDO.000050	IC0015SDO
80000117	EMIC0015SDO.000246	IC0015SDO
703448|80000027	EMIC0015SDO.000259	IC0015SDO
80000124	EMIC0015SDO.000272	IC0015SDO
80000113	EMIC0015SDO.000306	IC0015SDO
703448|80000027	EMIC0015SDO.000319	IC0015SDO
NILE06794	EMIC0015SDO.000353	IC0015SDO
NILE06795	EMIC0015SDO.000366	IC0015SDO
30003842|80000143	EMIC0015SDO.000891	IC0015SDO
NILE06796	EMIC0015SDO.000925	IC0015SDO
80000002	EMIC0015SDO.000938	IC0015SDO
NILE06797	EMIC0015SDO.000951	IC0015SDO
80000113	EMIC0015SDO.000964	IC0015SDO
80000124	EMIC0015SDO.000998	IC0015SDO
80000117	EMIC0015SDO.001011	IC0015SDO
703448|80000027	EMIC0015SDO.001024	IC0015SDO
80000113	EMIC0015SDO.001058	IC0015SDO
703448|80000027	EMIC0015SDO.001071	IC0015SDO
80000111	EMIC0015SDV.001000	IC0015SDV
80000111	EMIC0015SDV.001013	IC0015SDV
80000001	EMIC0015SDV.001026	IC0015SDV
80000123	EMIC0015SDV.001275	IC0015SDV
80000123	EMIC0015SDV.001288	IC0015SDV
80000115	EMIC0015SDV.000922	IC0015SDV
80000115	EMIC0015SDV.001468	IC0015SDV
80000111	EMIC0015SDV.001596	IC0015SDV
80000294	EMIC0015SDV.001609	IC0015SDV
690791|80000032	EMIC0015SDV.001622	IC0015SDV
80000115	EMIC0015SDV.001661	IC0015SDV
NILE06798	EMIC0015SDV.001674	IC0015SDV
687699	EMIC0015SDV.001687	IC0015SDV
80000115	EMIC0015SDV.001039	IC0015SDV
80000115	EMIC0015SDV.001052	IC0015SDV
80000123	EMIC0015SDV.001843	IC0015SDV
80000123	EMIC0015SDV.001895	IC0015SDV
80000123	EMIC0015SDV.001301	IC0015SDV
80000123	EMIC0015SDV.001314	IC0015SDV
80000115	EMIC0015SDV.001830	IC0015SDV
80000115	EMIC0015SDV.001882	IC0015SDV
80000111	EMIC0015SDV.001817	IC0015SDV
80000111	EMIC0015SDV.001856	IC0015SDV
80000001	EMIC0015SDV.001869	IC0015SDV
80000111	EMIC0015SDV.001327	IC0015SDV
80000111	EMIC0015SDV.001340	IC0015SDV
80000001	EMIC0015SDV.001353	IC0015SDV
80000123	EMIC0015SDV.001791	IC0015SDV
80000123	EMIC0015SDV.001804	IC0015SDV
80000111	EMIC0015SDV.001752	IC0015SDV
80000111	EMIC0015SDV.001765	IC0015SDV
