root_uid	eventmention_id	slot_type	argmention_id	attribute
IC0015SDO	VMIC0015SDO.000003	evt090arg02victim	EMIC0015SDO.000024	none
IC0015SDO	VMIC0015SDO.000003	evt090arg04place	EMIC0015SDO.000037	none
IC0015SDO	VMIC0015SDO.000003	evt090arg03instrument	EMIC0015SDO.000050	none
IC0015SDO	VMIC0015SDO.000225	evt090arg02victim	EMIC0015SDO.000246	none
IC0015SDO	VMIC0015SDO.000225	evt090arg04place	EMIC0015SDO.000259	none
IC0015SDO	VMIC0015SDO.000225	evt090arg01killer	EMIC0015SDO.000272	none
IC0015SDO	VMIC0015SDO.000285	evt090arg02victim	EMIC0015SDO.000306	none
IC0015SDO	VMIC0015SDO.000285	evt090arg04place	EMIC0015SDO.000319	none
IC0015SDO	VMIC0015SDO.000332	evt090arg01killer	EMIC0015SDO.000353	hedged
IC0015SDO	VMIC0015SDO.000332	evt090arg02victim	EMIC0015SDO.000366	hedged
IC0015SDO	VMIC0015SDO.000870	evt038arg01communicator	EMIC0015SDO.000891	none
IC0015SDO	VMIC0015SDO.000904	evt113arg01transporter	EMIC0015SDO.000925	none
IC0015SDO	VMIC0015SDO.000904	evt113arg04origin	EMIC0015SDO.000938	none
IC0015SDO	VMIC0015SDO.000904	evt113arg05destination	EMIC0015SDO.000951	none
IC0015SDO	VMIC0015SDO.000904	evt113arg02passenger	EMIC0015SDO.000964	none
IC0015SDO	VMIC0015SDO.000977	evt008arg01attacker	EMIC0015SDO.000998	none
IC0015SDO	VMIC0015SDO.000977	evt008arg02target	EMIC0015SDO.001011	none
IC0015SDO	VMIC0015SDO.000977	evt008arg04place	EMIC0015SDO.001024	none
IC0015SDO	VMIC0015SDO.001037	evt008arg02target	EMIC0015SDO.001058	none
IC0015SDO	VMIC0015SDO.001037	evt008arg04place	EMIC0015SDO.001071	none
IC0015SDV	VMIC0015SDV.000445	evt090arg01killer	EMIC0015SDV.001000	none
IC0015SDV	VMIC0015SDV.000445	evt090arg02victim	EMIC0015SDV.001013	none
IC0015SDV	VMIC0015SDV.000445	evt090arg04place	EMIC0015SDV.001026	none
